City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
9,Butaritari,KI,82.65,few clouds,3.0707,172.7902,Isles Sunset Lodge
11,Saint-Philippe,RE,80.15,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
14,Porto Novo,BJ,82.22,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
15,Rikitea,PF,78.55,light rain,-23.1203,-134.9692,People ThankYou
16,Hilo,US,80.62,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
18,Kahului,US,85.26,few clouds,20.8947,-156.47,Maui Seaside Hotel
25,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
27,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
32,Cairns,AU,80.55,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
33,Carnarvon,AU,77.07,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
44,Jardim,BR,80.8,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
46,Port Moresby,PG,80.02,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
48,Alta Floresta,BR,75.74,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
50,Anito,PH,75.85,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
56,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
57,Kapaa,US,81.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
60,Atuona,PF,78.66,light rain,-9.8,-139.0333,Villa Enata
63,Acapulco,MX,84.02,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
67,Hithadhoo,MV,81.52,broken clouds,-0.6,73.0833,Scoop Guest House
70,Georgetown,MY,78.89,scattered clouds,5.4112,100.3354,Cititel Penang
71,Itaituba,BR,76.48,overcast clouds,-4.2761,-55.9836,Hotel Campos
76,Sambava,MG,76.62,light rain,-14.2667,50.1667,Melrose
