City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Miri,4.4148,114.0089,77.14,100,40,4.61,MY,scattered clouds
1,Lebu,-37.6167,-73.65,59.76,92,17,12.68,CL,few clouds
2,Avera,33.194,-82.5271,70.72,72,100,14.88,US,overcast clouds
3,Takab,36.4009,47.1133,24.6,73,50,2.17,IR,scattered clouds
4,Santo Tomas,14.1079,121.1414,84.56,57,85,10.0,PH,overcast clouds
5,Balkhash,46.844,74.9804,2.01,71,0,17.9,KZ,clear sky
6,Mataura,-46.1927,168.8643,49.3,99,100,3.11,NZ,light rain
7,Ushuaia,-54.8,-68.3,44.26,65,75,20.71,AR,broken clouds
8,Adrar,20.5022,-10.0711,60.93,19,0,10.22,MR,clear sky
9,Lorengau,-2.0226,147.2712,84.72,64,100,9.08,PG,overcast clouds
10,Iwaki,37.05,140.8833,40.01,47,100,5.01,JP,overcast clouds
11,Cayenne,4.9333,-52.3333,79.09,87,75,5.01,GF,broken clouds
12,Saint-Pierre,-21.3393,55.4781,80.24,86,100,18.86,RE,moderate rain
13,Kikwit,-5.041,18.8162,66.87,98,100,1.3,CD,overcast clouds
14,Barrow,71.2906,-156.7887,-27.38,83,100,4.61,US,fog
15,Jhudo,24.964,69.2968,57.72,60,0,8.32,PK,clear sky
16,Albany,42.6001,-73.9662,39.31,91,100,3.0,US,snow
17,Cidreira,-30.1811,-50.2056,75.87,88,80,23.58,BR,broken clouds
18,Kruisfontein,-34.0033,24.7314,64.89,80,62,9.19,ZA,light rain
19,Agua Verde,22.9,-106.05,68.68,66,72,9.86,MX,broken clouds
20,Dumas,35.8656,-101.9732,8.04,85,40,8.05,US,scattered clouds
21,Husavik,66.0449,-17.3389,28.31,93,100,15.59,IS,snow
22,Busselton,-33.65,115.3333,94.05,35,67,15.57,AU,broken clouds
23,Hualmay,-11.0964,-77.6139,70.81,81,75,8.61,PE,broken clouds
24,Butaritari,3.0707,172.7902,82.24,75,15,13.78,KI,few clouds
25,Mar Del Plata,-38.0023,-57.5575,71.1,94,100,0.0,AR,fog
26,Ventspils,57.3894,21.5606,24.73,100,100,5.75,LV,overcast clouds
27,Mangrol,21.1167,70.1167,62.1,47,13,5.3,IN,few clouds
28,Sterling,39.0062,-77.4286,57.15,98,100,0.0,US,fog
29,East London,-33.0153,27.9116,69.39,81,100,15.5,ZA,light rain
30,Saint-Philippe,-21.3585,55.7679,80.15,93,100,33.08,RE,moderate rain
31,Hobart,-42.8794,147.3294,71.02,47,9,1.01,AU,clear sky
32,Maniitsoq,65.4167,-52.9,12.2,82,100,21.32,GL,light snow
33,Karakol,42.4907,78.3936,18.57,92,99,3.44,KG,light snow
34,Bethel,41.3712,-73.414,47.48,98,100,2.62,US,light rain
35,Nikolskoye,59.7035,30.7861,1.29,100,100,2.17,RU,overcast clouds
